train_no,train_name,origin_station,destination_station,off_day,station_order,station_name,arrival_time,departure_time,journey_day,page_number
508,Local Train,Goalando Ghat,Poradaha Jn,,9.0,Machpara,17:38,17:38,1.0,41.0
508,Local Train,Goalando Ghat,Poradaha Jn,,10.0,Khoksa,17:49,17:49,1.0,41.0
508,Local Train,Goalando Ghat,Poradaha Jn,,11.0,Kumarkhali,18:01,18:01,1.0,41.0
508,Local Train,Goalando Ghat,Poradaha Jn,,12.0,Choraikol,18:18,18:18,1.0,41.0
508,Local Train,Goalando Ghat,Poradaha Jn,,13.0,Kushtia,18:31,18:31,1.0,41.0
508,Local Train,Goalando Ghat,Poradaha Jn,,14.0,Kushtia Court,18:40,18:40,1.0,41.0
508,Local Train,Goalando Ghat,Poradaha Jn,,15.0,Jagati,18:50,18:50,1.0,41.0
508,Local Train,Goalando Ghat,Poradaha Jn,,16.0,Poradaha Jn,19:15,,1.0,41.0
513,Local Train,Rajbari,Goalando Ghat,,1.0,Rajbari,,06:15,1.0,41.0
513,Local Train,Rajbari,Goalando Ghat,,2.0,Panchuria Jn,06:27,06:27,1.0,41.0
513,Local Train,Rajbari,Goalando Ghat,,3.0,Goalando Bazar,06:40,,1.0,41.0
585,Local Train,Chapainawabganj,Rohanpur,,1.0,Chapainawabganj,,22:15,1.0,41.0
585,Local Train,Chapainawabganj,Rohanpur,,2.0,Amnura Jn,22:45,22:45,1.0,41.0
585,Local Train,Chapainawabganj,Rohanpur,,3.0,Nizampur,23:00,23:00,1.0,41.0
585,Local Train,Chapainawabganj,Rohanpur,,4.0,Nachol,23:10,23:10,1.0,41.0
585,Local Train,Chapainawabganj,Rohanpur,,5.0,Golabari,23:22,23:22,1.0,41.0
585,Local Train,Chapainawabganj,Rohanpur,,6.0,Rohanpur,23:50,,1.0,41.0
3107,Maitree Express,Dhaka Cantonment,Kolkata,,1.0,Dhaka Cantonment,,08:15,1.0,41.0
3107,Maitree Express,Dhaka Cantonment,Kolkata,,2.0,Kolkata,16:00,,1.0,41.0
3108,Maitree Express,Kolkata,Dhaka Cantonment,,1.0,Kolkata,,07:10,1.0,41.0
3108,Maitree Express,Kolkata,Dhaka Cantonment,,2.0,Dhaka Cantonment,15:35,,1.0,41.0
3129,Bandhan Express,Kolkata,Khulna,,1.0,Kolkata,,07:10,1.0,41.0
3129,Bandhan Express,Kolkata,Khulna,,2.0,Khulna,12:35,,1.0,41.0
3130,Bandhan Express,Khulna,Kolkata,,1.0,Khulna,,13:30,1.0,41.0
3130,Bandhan Express,Khulna,Kolkata,,2.0,Kolkata,18:10,,1.0,41.0
3131,Mitali Express,Dhaka Cantonment,New Jalpaiguri,,1.0,Dhaka Cantonment,,21:50,1.0,41.0
3131,Mitali Express,Dhaka Cantonment,New Jalpaiguri,,2.0,New Jalpaiguri,07:45,,2.0,41.0
3132,Mitali Express,New Jalpaiguri,Dhaka Cantonment,,1.0,New Jalpaiguri,,11:45,1.0,41.0
3132,Mitali Express,New Jalpaiguri,Dhaka Cantonment,,2.0,Dhaka Cantonment,22:10,,1.0,41.0
456,Local Train,Burimari,Lalmonirhat,,1.0,Burimari,,06:00,1.0,40.0
456,Local Train,Burimari,Lalmonirhat,,2.0,Patgram,06:18,06:18,1.0,40.0
456,Local Train,Burimari,Lalmonirhat,,3.0,Alauddin Nagar,06:30,06:30,1.0,40.0
456,Local Train,Burimari,Lalmonirhat,,4.0,Bawra,06:40,06:40,1.0,40.0
456,Local Train,Burimari,Lalmonirhat,,5.0,Barakhata,06:52,06:52,1.0,40.0
456,Local Train,Burimari,Lalmonirhat,,6.0,Hatibandha,07:06,07:06,1.0,40.0
456,Local Train,Burimari,Lalmonirhat,,7.0,Shaheed Borhan Nagar,07:17,07:17,1.0,40.0
456,Local Train,Burimari,Lalmonirhat,,8.0,Votmari,07:28,07:28,1.0,40.0
456,Local Train,Burimari,Lalmonirhat,,9.0,Tushbhandar,07:41,07:41,1.0,40.0
456,Local Train,Burimari,Lalmonirhat,,10.0,Kakina,07:50,07:50,1.0,40.0
456,Local Train,Burimari,Lalmonirhat,,11.0,Namurirhat,08:02,08:02,1.0,40.0
456,Local Train,Burimari,Lalmonirhat,,12.0,Aditmari,08:11,08:11,1.0,40.0
456,Local Train,Burimari,Lalmonirhat,,13.0,Lalmonirhat,08:25,,1.0,40.0
461,Local Train,Lalmonirhat,Parbatipur Jn,,1.0,Lalmonirhat,,08:50,1.0,40.0
461,Local Train,Lalmonirhat,Parbatipur Jn,,2.0,Mahendranagar,08:59,08:59,1.0,40.0
461,Local Train,Lalmonirhat,Parbatipur Jn,,3.0,Teesta Jn,09:13,09:13,1.0,40.0
461,Local Train,Lalmonirhat,Parbatipur Jn,,4.0,Kaunia Jn,09:23,09:23,1.0,40.0
461,Local Train,Lalmonirhat,Parbatipur Jn,,5.0,Mirbag,09:37,09:37,1.0,40.0
461,Local Train,Lalmonirhat,Parbatipur Jn,,6.0,Rangpur,09:55,09:55,1.0,40.0
461,Local Train,Lalmonirhat,Parbatipur Jn,,7.0,Shyampur,10:25,10:25,1.0,40.0
461,Local Train,Lalmonirhat,Parbatipur Jn,,8.0,Aulianagar,10:34,10:34,1.0,40.0
461,Local Train,Lalmonirhat,Parbatipur Jn,,9.0,Badarganj,10:47,10:47,1.0,40.0
461,Local Train,Lalmonirhat,Parbatipur Jn,,10.0,Kholahati,11:00,11:00,1.0,40.0
461,Local Train,Lalmonirhat,Parbatipur Jn,,11.0,Parbatipur Jn,11:20,,1.0,40.0
462,Local Train,Parbatipur Jn,Lalmonirhat,,1.0,Parbatipur Jn,,18:20,1.0,40.0
462,Local Train,Parbatipur Jn,Lalmonirhat,,2.0,Kholahati,18:34,18:34,1.0,40.0
462,Local Train,Parbatipur Jn,Lalmonirhat,,3.0,Badarganj,18:47,18:47,1.0,40.0
462,Local Train,Parbatipur Jn,Lalmonirhat,,4.0,Aulianagar,18:57,18:57,1.0,40.0
462,Local Train,Parbatipur Jn,Lalmonirhat,,5.0,Shyampur,19:06,19:06,1.0,40.0
462,Local Train,Parbatipur Jn,Lalmonirhat,,6.0,Rangpur,19:26,19:26,1.0,40.0
462,Local Train,Parbatipur Jn,Lalmonirhat,,7.0,Mirbag,19:41,19:41,1.0,40.0
462,Local Train,Parbatipur Jn,Lalmonirhat,,8.0,Kaunia Jn,19:55,19:55,1.0,40.0
462,Local Train,Parbatipur Jn,Lalmonirhat,,9.0,Teesta Jn,20:04,20:04,1.0,40.0
462,Local Train,Parbatipur Jn,Lalmonirhat,,10.0,Mahendranagar,20:17,20:17,1.0,40.0
462,Local Train,Parbatipur Jn,Lalmonirhat,,11.0,Lalmonirhat,20:30,,1.0,40.0
491,Local Train,Santahar Jn,Bonarpara Jn,,1.0,Santahar Jn,,18:40,1.0,40.0
491,Local Train,Santahar Jn,Bonarpara Jn,,2.0,Adamdighi,18:52,18:52,1.0,40.0
491,Local Train,Santahar Jn,Bonarpara Jn,,3.0,Nasratpur,19:00,19:00,1.0,40.0
491,Local Train,Santahar Jn,Bonarpara Jn,,4.0,Altafnagar,19:10,19:10,1.0,40.0
491,Local Train,Santahar Jn,Bonarpara Jn,,5.0,Talora,19:46,19:46,1.0,40.0
491,Local Train,Santahar Jn,Bonarpara Jn,,6.0,Panchpir Mazar,19:56,19:56,1.0,40.0
491,Local Train,Santahar Jn,Bonarpara Jn,,7.0,Kahalu,20:06,20:06,1.0,40.0
491,Local Train,Santahar Jn,Bonarpara Jn,,8.0,Bogura,20:25,20:25,1.0,40.0
491,Local Train,Santahar Jn,Bonarpara Jn,,9.0,Gabtoli,20:39,20:39,1.0,40.0
491,Local Train,Santahar Jn,Bonarpara Jn,,10.0,Sukhanpukur,20:49,20:49,1.0,40.0
491,Local Train,Santahar Jn,Bonarpara Jn,,11.0,Syed Ahmed College,20:56,20:56,1.0,40.0
491,Local Train,Santahar Jn,Bonarpara Jn,,12.0,Velurpara,21:26,21:26,1.0,40.0
491,Local Train,Santahar Jn,Bonarpara Jn,,13.0,Sonatala,21:38,21:38,1.0,40.0
491,Local Train,Santahar Jn,Bonarpara Jn,,14.0,Shalmara,21:47,21:47,1.0,40.0
491,Local Train,Santahar Jn,Bonarpara Jn,,15.0,Mahimaganj,21:55,21:55,1.0,40.0
491,Local Train,Santahar Jn,Bonarpara Jn,,16.0,Bonarpara Jn,22:10,,1.0,40.0
492,Local Train,Bonarpara Jn,Santahar Jn,,1.0,Bonarpara Jn,,07:00,1.0,40.0
492,Local Train,Bonarpara Jn,Santahar Jn,,2.0,Mahimaganj,07:12,07:12,1.0,40.0
492,Local Train,Bonarpara Jn,Santahar Jn,,3.0,Shalmara,07:20,07:20,1.0,40.0
492,Local Train,Bonarpara Jn,Santahar Jn,,4.0,Sonatala,07:32,07:32,1.0,40.0
492,Local Train,Bonarpara Jn,Santahar Jn,,5.0,Velurpara,07:43,07:43,1.0,40.0
492,Local Train,Bonarpara Jn,Santahar Jn,,6.0,Syed Ahmed College,07:53,07:53,1.0,40.0
492,Local Train,Bonarpara Jn,Santahar Jn,,7.0,Sukhanpukur,08:15,08:15,1.0,40.0
492,Local Train,Bonarpara Jn,Santahar Jn,,8.0,Gabtoli,08:26,08:26,1.0,40.0
492,Local Train,Bonarpara Jn,Santahar Jn,,9.0,Bogura,08:43,08:43,1.0,40.0
492,Local Train,Bonarpara Jn,Santahar Jn,,10.0,Kahalu,08:58,08:58,1.0,40.0
492,Local Train,Bonarpara Jn,Santahar Jn,,11.0,Panchpir Mazar,09:07,09:07,1.0,40.0
492,Local Train,Bonarpara Jn,Santahar Jn,,12.0,Talora,09:18,09:18,1.0,40.0
492,Local Train,Bonarpara Jn,Santahar Jn,,13.0,Altafnagar,09:48,09:48,1.0,40.0
492,Local Train,Bonarpara Jn,Santahar Jn,,14.0,Nasratpur,09:58,09:58,1.0,40.0
492,Local Train,Bonarpara Jn,Santahar Jn,,15.0,Adamdighi,10:08,10:08,1.0,40.0
492,Local Train,Bonarpara Jn,Santahar Jn,,16.0,Santahar Jn,10:20,,1.0,40.0
505,Local Train,Poradaha Jn,Goalando Ghat,,1.0,Poradaha Jn,,12:00,1.0,40.0
505,Local Train,Poradaha Jn,Goalando Ghat,,2.0,Jagati,12:11,12:11,1.0,40.0
505,Local Train,Poradaha Jn,Goalando Ghat,,3.0,Kushtia Court,12:23,12:23,1.0,40.0
505,Local Train,Poradaha Jn,Goalando Ghat,,4.0,Kushtia,12:32,12:32,1.0,40.0
505,Local Train,Poradaha Jn,Goalando Ghat,,5.0,Choraikol,12:46,12:46,1.0,40.0
505,Local Train,Poradaha Jn,Goalando Ghat,,6.0,Kumarkhali,12:55,12:55,1.0,40.0
505,Local Train,Poradaha Jn,Goalando Ghat,,7.0,Khoksa,13:09,13:09,1.0,40.0
505,Local Train,Poradaha Jn,Goalando Ghat,,8.0,Machpara,13:21,13:21,1.0,40.0
505,Local Train,Poradaha Jn,Goalando Ghat,,9.0,Pangsha,13:32,13:32,1.0,40.0
505,Local Train,Poradaha Jn,Goalando Ghat,,10.0,Kalukhali Jn,13:48,13:48,1.0,40.0
505,Local Train,Poradaha Jn,Goalando Ghat,,11.0,Belgachi,14:00,14:00,1.0,40.0
505,Local Train,Poradaha Jn,Goalando Ghat,,12.0,Suryanagar,14:12,14:12,1.0,40.0
505,Local Train,Poradaha Jn,Goalando Ghat,,13.0,Rajbari,14:45,14:45,1.0,40.0
505,Local Train,Poradaha Jn,Goalando Ghat,,14.0,Panchuria Jn,14:57,14:57,1.0,40.0
505,Local Train,Poradaha Jn,Goalando Ghat,,15.0,Goalando Bazar,15:16,15:16,1.0,40.0
505,Local Train,Poradaha Jn,Goalando Ghat,,16.0,Goalando Ghat,15:30,,1.0,40.0
506,Local Train,Goalando Ghat,Poradaha Jn,,1.0,Goalando Ghat,,07:30,1.0,40.0
506,Local Train,Goalando Ghat,Poradaha Jn,,2.0,Goalando Bazar,07:47,07:47,1.0,40.0
506,Local Train,Goalando Ghat,Poradaha Jn,,3.0,Panchuria Jn,08:00,08:00,1.0,40.0
506,Local Train,Goalando Ghat,Poradaha Jn,,4.0,Rajbari,08:15,08:15,1.0,40.0
506,Local Train,Goalando Ghat,Poradaha Jn,,5.0,Suryanagar,08:25,08:25,1.0,40.0
506,Local Train,Goalando Ghat,Poradaha Jn,,6.0,Belgachi,08:36,08:36,1.0,40.0
506,Local Train,Goalando Ghat,Poradaha Jn,,7.0,Kalukhali Jn,08:49,08:49,1.0,40.0
506,Local Train,Goalando Ghat,Poradaha Jn,,8.0,Pangsha,09:02,09:02,1.0,40.0
506,Local Train,Goalando Ghat,Poradaha Jn,,9.0,Machpara,09:13,09:13,1.0,40.0
506,Local Train,Goalando Ghat,Poradaha Jn,,10.0,Khoksa,10:06,10:06,1.0,40.0
506,Local Train,Goalando Ghat,Poradaha Jn,,11.0,Kumarkhali,10:19,10:19,1.0,40.0
506,Local Train,Goalando Ghat,Poradaha Jn,,12.0,Choraikol,10:28,10:28,1.0,40.0
506,Local Train,Goalando Ghat,Poradaha Jn,,13.0,Kushtia,10:41,10:41,1.0,40.0
506,Local Train,Goalando Ghat,Poradaha Jn,,14.0,Kushtia Court,10:49,10:49,1.0,40.0
506,Local Train,Goalando Ghat,Poradaha Jn,,15.0,Jagati,10:58,10:58,1.0,40.0
506,Local Train,Goalando Ghat,Poradaha Jn,,16.0,Poradaha Jn,11:15,,1.0,40.0
375,Local Train,Jaria Janjail,Mymensingh,,2.0,Purbadhala,19:10,19:10,1.0,39.0
375,Local Train,Jaria Janjail,Mymensingh,,3.0,Jhalshuka,19:22,19:22,1.0,39.0
375,Local Train,Jaria Janjail,Mymensingh,,4.0,Shyamganj Jn,19:39,19:39,1.0,39.0
375,Local Train,Jaria Janjail,Mymensingh,,5.0,Gauripur Jn,19:53,19:53,1.0,39.0
375,Local Train,Jaria Janjail,Mymensingh,,6.0,Bishka,20:05,20:05,1.0,39.0
375,Local Train,Jaria Janjail,Mymensingh,,7.0,Shambhuganj,20:17,20:17,1.0,39.0
375,Local Train,Jaria Janjail,Mymensingh,,8.0,Mymensingh,20:30,,1.0,39.0
376,Local Train,Mymensingh,Jaria Janjail,,1.0,Mymensingh,,16:50,1.0,39.0
376,Local Train,Mymensingh,Jaria Janjail,,2.0,Shambhuganj,17:13,17:13,1.0,39.0
376,Local Train,Mymensingh,Jaria Janjail,,3.0,Bishka,17:25,17:25,1.0,39.0
376,Local Train,Mymensingh,Jaria Janjail,,4.0,Gauripur Jn,17:37,17:37,1.0,39.0
376,Local Train,Mymensingh,Jaria Janjail,,5.0,Shyamganj Jn,17:52,17:52,1.0,39.0
376,Local Train,Mymensingh,Jaria Janjail,,6.0,Jhalshuka,18:07,18:07,1.0,39.0
376,Local Train,Mymensingh,Jaria Janjail,,7.0,Purbadhala,18:18,18:18,1.0,39.0
376,Local Train,Mymensingh,Jaria Janjail,,8.0,Jaria Janjail,18:35,,1.0,39.0
377,Local Train,Jaria Janjail,Mymensingh,,1.0,Jaria Janjail,,22:50,1.0,39.0
377,Local Train,Jaria Janjail,Mymensingh,,2.0,Purbadhala,23:05,23:05,1.0,39.0
377,Local Train,Jaria Janjail,Mymensingh,,3.0,Jhalshuka,23:26,23:26,1.0,39.0
377,Local Train,Jaria Janjail,Mymensingh,,4.0,Shyamganj Jn,23:31,23:31,1.0,39.0
377,Local Train,Jaria Janjail,Mymensingh,,5.0,Gauripur Jn,23:45,23:45,1.0,39.0
377,Local Train,Jaria Janjail,Mymensingh,,6.0,Bishka,23:57,23:57,1.0,39.0
377,Local Train,Jaria Janjail,Mymensingh,,7.0,Shambhuganj,00:09,00:09,2.0,39.0
377,Local Train,Jaria Janjail,Mymensingh,,8.0,Mymensingh,00:25,,2.0,39.0
378,Local Train,Mymensingh,Jaria Janjail,,1.0,Mymensingh,,20:55,1.0,39.0
378,Local Train,Mymensingh,Jaria Janjail,,2.0,Shambhuganj,21:09,21:09,1.0,39.0
378,Local Train,Mymensingh,Jaria Janjail,,3.0,Bishka,21:21,21:21,1.0,39.0
378,Local Train,Mymensingh,Jaria Janjail,,4.0,Gauripur Jn,21:32,21:32,1.0,39.0
378,Local Train,Mymensingh,Jaria Janjail,,5.0,Shyamganj Jn,21:48,21:48,1.0,39.0
378,Local Train,Mymensingh,Jaria Janjail,,6.0,Jhalshuka,22:04,22:04,1.0,39.0
378,Local Train,Mymensingh,Jaria Janjail,,7.0,Purbadhala,22:16,22:16,1.0,39.0
378,Local Train,Mymensingh,Jaria Janjail,,8.0,Jaria Janjail,22:30,,1.0,39.0
415,Ramna Local,Ramna Bazar,Rangpur,,1.0,Ramna Bazar,,12:10,1.0,39.0
415,Ramna Local,Ramna Bazar,Rangpur,,2.0,Balabari,12:25,12:25,1.0,39.0
415,Ramna Local,Ramna Bazar,Rangpur,,3.0,Ulipur,12:50,12:50,1.0,39.0
415,Ramna Local,Ramna Bazar,Rangpur,,4.0,Panchpir,13:24,13:24,1.0,39.0
415,Ramna Local,Ramna Bazar,Rangpur,,5.0,Kurigram,14:00,14:00,1.0,39.0
415,Ramna Local,Ramna Bazar,Rangpur,,6.0,Tograihat,14:09,14:09,1.0,39.0
415,Ramna Local,Ramna Bazar,Rangpur,,7.0,Rajarhat,14:20,14:20,1.0,39.0
415,Ramna Local,Ramna Bazar,Rangpur,,8.0,Sinkherdhabri Halt,14:30,14:30,1.0,39.0
415,Ramna Local,Ramna Bazar,Rangpur,,9.0,Teesta Jn,14:47,14:47,1.0,39.0
415,Ramna Local,Ramna Bazar,Rangpur,,10.0,Kaunia Jn,14:58,14:58,1.0,39.0
415,Ramna Local,Ramna Bazar,Rangpur,,11.0,Mirbag,15:11,15:11,1.0,39.0
415,Ramna Local,Ramna Bazar,Rangpur,,12.0,Rangpur,15:25,,1.0,39.0
416,Ramna Local,Rangpur,Kurigram,,1.0,Rangpur,,15:55,1.0,39.0
416,Ramna Local,Rangpur,Kurigram,,2.0,Mirbag,16:10,16:10,1.0,39.0
416,Ramna Local,Rangpur,Kurigram,,3.0,Kaunia Jn,16:23,16:23,1.0,39.0
416,Ramna Local,Rangpur,Kurigram,,4.0,Teesta Jn,16:33,16:33,1.0,39.0
416,Ramna Local,Rangpur,Kurigram,,5.0,Sinkherdhabri Halt,16:47,16:47,1.0,39.0
416,Ramna Local,Rangpur,Kurigram,,6.0,Rajarhat,16:56,16:56,1.0,39.0
416,Ramna Local,Rangpur,Kurigram,,7.0,Tograihat,17:07,17:07,1.0,39.0
416,Ramna Local,Rangpur,Kurigram,,8.0,Kurigram,17:20,,1.0,39.0
421,Ramna Local,Kurigram,Parbatipur Jn,,1.0,Kurigram,,17:40,1.0,39.0
421,Ramna Local,Kurigram,Parbatipur Jn,,2.0,Tograihat,17:50,17:50,1.0,39.0
421,Ramna Local,Kurigram,Parbatipur Jn,,3.0,Rajarhat,18:01,18:01,1.0,39.0
421,Ramna Local,Kurigram,Parbatipur Jn,,4.0,Sinkherdhabri Halt,18:11,18:11,1.0,39.0
421,Ramna Local,Kurigram,Parbatipur Jn,,5.0,Teesta Jn,18:35,18:35,1.0,39.0
421,Ramna Local,Kurigram,Parbatipur Jn,,6.0,Kaunia Jn,18:48,18:48,1.0,39.0
421,Ramna Local,Kurigram,Parbatipur Jn,,7.0,Mirbag,19:02,19:02,1.0,39.0
421,Ramna Local,Kurigram,Parbatipur Jn,,8.0,Rangpur,19:26,19:26,1.0,39.0
421,Ramna Local,Kurigram,Parbatipur Jn,,9.0,Shyampur,19:43,19:43,1.0,39.0
421,Ramna Local,Kurigram,Parbatipur Jn,,10.0,Aulianagar,19:52,19:52,1.0,39.0
421,Ramna Local,Kurigram,Parbatipur Jn,,11.0,Badarganj,20:03,20:03,1.0,39.0
421,Ramna Local,Kurigram,Parbatipur Jn,,12.0,Kholahati,20:16,20:16,1.0,39.0
421,Ramna Local,Kurigram,Parbatipur Jn,,13.0,Parbatipur Jn,20:40,,1.0,39.0
422,Ramna Local,Parbatipur Jn,Ramna Bazar,,1.0,Parbatipur Jn,,07:00,1.0,39.0
422,Ramna Local,Parbatipur Jn,Ramna Bazar,,2.0,Kholahati,07:14,07:14,1.0,39.0
422,Ramna Local,Parbatipur Jn,Ramna Bazar,,3.0,Badarganj,07:28,07:28,1.0,39.0
422,Ramna Local,Parbatipur Jn,Ramna Bazar,,4.0,Aulianagar,07:38,07:38,1.0,39.0
422,Ramna Local,Parbatipur Jn,Ramna Bazar,,5.0,Shyampur,08:03,08:03,1.0,39.0
422,Ramna Local,Parbatipur Jn,Ramna Bazar,,6.0,Rangpur,08:25,08:25,1.0,39.0
422,Ramna Local,Parbatipur Jn,Ramna Bazar,,7.0,Mirbag,08:40,08:40,1.0,39.0
422,Ramna Local,Parbatipur Jn,Ramna Bazar,,8.0,Kaunia Jn,08:54,08:54,1.0,39.0
422,Ramna Local,Parbatipur Jn,Ramna Bazar,,9.0,Teesta Jn,09:15,09:15,1.0,39.0
422,Ramna Local,Parbatipur Jn,Ramna Bazar,,10.0,Sinkherdhabri Halt,09:29,09:29,1.0,39.0
422,Ramna Local,Parbatipur Jn,Ramna Bazar,,11.0,Rajarhat,09:40,09:40,1.0,39.0
422,Ramna Local,Parbatipur Jn,Ramna Bazar,,12.0,Tograihat,09:50,09:50,1.0,39.0
422,Ramna Local,Parbatipur Jn,Ramna Bazar,,13.0,Kurigram,10:02,10:02,1.0,39.0
422,Ramna Local,Parbatipur Jn,Ramna Bazar,,14.0,Panchpir,10:35,10:35,1.0,39.0
422,Ramna Local,Parbatipur Jn,Ramna Bazar,,15.0,Ulipur,11:09,11:09,1.0,39.0
422,Ramna Local,Parbatipur Jn,Ramna Bazar,,16.0,Balabari,11:34,11:34,1.0,39.0
422,Ramna Local,Parbatipur Jn,Ramna Bazar,,17.0,Ramna Bazar,11:50,,1.0,39.0
455,Local Train,Lalmonirhat,Burimari,,1.0,Lalmonirhat,,20:40,1.0,39.0
455,Local Train,Lalmonirhat,Burimari,,2.0,Aditmari,20:57,20:57,1.0,40.0
455,Local Train,Lalmonirhat,Burimari,,3.0,Namurirhat,21:06,21:06,1.0,40.0
455,Local Train,Lalmonirhat,Burimari,,4.0,Kakina,21:18,21:18,1.0,40.0
455,Local Train,Lalmonirhat,Burimari,,5.0,Tushbhandar,21:28,21:28,1.0,40.0
455,Local Train,Lalmonirhat,Burimari,,6.0,Votmari,21:41,21:41,1.0,40.0
455,Local Train,Lalmonirhat,Burimari,,7.0,Hatibandha,22:19,22:19,1.0,40.0
455,Local Train,Lalmonirhat,Burimari,,8.0,Barakhata,22:33,22:33,1.0,40.0
455,Local Train,Lalmonirhat,Burimari,,9.0,Bawra,22:45,22:45,1.0,40.0
455,Local Train,Lalmonirhat,Burimari,,10.0,Alauddin Nagar,22:55,22:55,1.0,40.0
455,Local Train,Lalmonirhat,Burimari,,11.0,Patgram,23:10,23:10,1.0,40.0
455,Local Train,Lalmonirhat,Burimari,,12.0,Burimari,23:30,,1.0,40.0
361,Local Train,Mohanganj,Mymensingh,,2.0,Atithpur,09:34,09:34,1.0,38.0
361,Local Train,Mohanganj,Mymensingh,,3.0,Barhatta,09:47,09:47,1.0,38.0
361,Local Train,Mohanganj,Mymensingh,,4.0,Thakurakona,10:00,10:00,1.0,38.0
361,Local Train,Mohanganj,Mymensingh,,5.0,Bangla,10:11,10:11,1.0,38.0
361,Local Train,Mohanganj,Mymensingh,,6.0,Netrokona Court,10:23,10:23,1.0,38.0
361,Local Train,Mohanganj,Mymensingh,,7.0,Netrokona,10:32,10:32,1.0,38.0
361,Local Train,Mohanganj,Mymensingh,,8.0,Challishnagar,10:42,10:42,1.0,38.0
361,Local Train,Mohanganj,Mymensingh,,9.0,Hiranpur,10:54,10:54,1.0,38.0
361,Local Train,Mohanganj,Mymensingh,,10.0,Shyamganj Jn,11:10,11:10,1.0,38.0
361,Local Train,Mohanganj,Mymensingh,,11.0,Gauripur Jn,11:25,11:25,1.0,38.0
361,Local Train,Mohanganj,Mymensingh,,12.0,Bishka,11:37,11:37,1.0,38.0
361,Local Train,Mohanganj,Mymensingh,,13.0,Shambhuganj,11:49,11:49,1.0,38.0
361,Local Train,Mohanganj,Mymensingh,,14.0,Mymensingh,12:05,,1.0,37.0
362,Local Train,Mymensingh,Mohanganj,,1.0,Mymensingh,,05:40,1.0,38.0
362,Local Train,Mymensingh,Mohanganj,,2.0,Shambhuganj,05:54,05:54,1.0,38.0
362,Local Train,Mymensingh,Mohanganj,,3.0,Bishka,06:06,06:06,1.0,38.0
362,Local Train,Mymensingh,Mohanganj,,4.0,Gauripur Jn,06:18,06:18,1.0,38.0
362,Local Train,Mymensingh,Mohanganj,,5.0,Shyamganj Jn,06:32,06:32,1.0,38.0
362,Local Train,Mymensingh,Mohanganj,,6.0,Hiranpur,06:45,06:45,1.0,38.0
362,Local Train,Mymensingh,Mohanganj,,7.0,Challishnagar,06:57,06:57,1.0,38.0
362,Local Train,Mymensingh,Mohanganj,,8.0,Netrokona,07:07,07:07,1.0,38.0
362,Local Train,Mymensingh,Mohanganj,,9.0,Netrokona Court,07:14,07:14,1.0,38.0
362,Local Train,Mymensingh,Mohanganj,,10.0,Bangla,07:25,07:25,1.0,38.0
362,Local Train,Mymensingh,Mohanganj,,11.0,Thakurakona,07:36,07:36,1.0,38.0
362,Local Train,Mymensingh,Mohanganj,,12.0,Barhatta,08:16,08:16,1.0,38.0
362,Local Train,Mymensingh,Mohanganj,,13.0,Atithpur,08:30,08:30,1.0,38.0
362,Local Train,Mymensingh,Mohanganj,,14.0,Mohanganj,09:00,,1.0,38.0
